"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Tesla","TSLA","911205269504","907.34","United States"
"2","Toyota","TM","274258280448","197.24","Japan"
"3","Volkswagen","VOW3.DE","124395549741","201.18","Germany"
"4","BYD","002594.SZ","107779133682","37.02","China"
"5","Daimler","DAI.DE","85824249620","80.22","Germany"
"6","General Motors","GM","73682640896","50.71","United States"
"7","Ford","F","71636033536","17.89","United States"
"8","BMW","BMW.DE","66793934199","102.75","Germany"
"9","Stellantis","STLA","58517344256","18.68","Netherlands"
"10","Honda","HMC","51654283264","29.55","Japan"
"11","Rivian","RIVN","51555225600","58.36","United States"
"12","Great Wall Motors","601633.SS","46988271198","6.31","China"
"13","Lucid Motors","LCID","44402597888","26.97","United States"
"14","Ferrari","RACE","41415847936","225.52","Italy"
"15","NIO","NIO","38157774848","23.99","China"
"16","Hyundai","HYMTF","35301515264","39.13","South Korea"
"17","SAIC Motor","600104.SS","35013982320","3","China"
"18","Maruti Suzuki India","MARUTI.NS","34667047519","114.76","India"
"19","XPeng","XPEV","31566131200","36.86","China"
"20","Li Auto","LI","29570781184","28.63","China"
"21","Kia","000270.KS","26362709008","65.69","South Korea"
"22","Tata Motors","TTM","25118961664","32.8","India"
"23","Volvo Car","VOLCAR-B.ST","22117588979","7.42","Sweden"
"24","Geely","0175.HK","21500620917","2.15","China"
"25","Nissan","7201.T","20143703912","5.15","Japan"
"26","Suzuki Motor","7269.T","20139874949","41.48","Japan"
"27","Mahindra &amp; Mahindra","M&M.NS","13776047805","11.08","India"
"28","Chongqing Changan","000625.SZ","13665733502","2.04","China"
"29","Subaru","7270.T","13337584364","17.39","Japan"
"30","Hotai Motor","2207.TW","11950329018","21.88","Taiwan"
"31","Renault","RNSDF","11810082816","40.7","France"
"32","Isuzu","7202.T","9415990164","12.77","Japan"
"33","Dongfeng Motor","0489.HK","7905514243","0.92","China"
"34","Polaris","PII","7063361536","116.4","United States"
"35","FAW Car","000800.SZ","7036322814","1.51","China"
"36","Mazda","7261.T","4902781920","7.78","Japan"
"37","Fisker","FSR","3335132672","11.24","United States"
"38","Nikola","NKLA","3063844096","7.53","United States"
"39","Arrival","ARVL","2393507072","3.76","United Kingdom"
"40","Aston Martin","A5SA.F","1780768047","15.28","United Kingdom"
"41","Canoo","GOEV","1396880512","5.85","United States"
"42","REE Automotive","REE","827733568","3.6","Israel"
"43","Lordstown Motors","RIDE","572848384","2.98","United States"
"44","Sono","SEV","407959200","5.66","Germany"
"45","Cenntro Electric Group","CENN","404946784","1.55","United States"
"46","SsangYong Motor","003620.KS","346014732","2.31","South Korea"
"47","Electra Meccanica","SOLO","239938144","2.05","Canada"
"48","Arcimoto","FUV","216942928","5.76","United States"
